2024-06-27 09:53:02.384 -0400	START		Running TestCases/Regular/basicExataFunctionalityCheck.script	22	on_startregulartests	TestCases/Regular/testLauncher.script
2024-06-27 09:53:02.412 -0400	BeginTestCase		basicEXataFunctionalityCheck	2	on_basicexatafunctionalitycheck	TestCases/Regular/basicExataFunctionalityCheck.script
2024-06-27 09:53:02.577 -0400	set		DEFAULTTEXTPLATFORM = Generic OCR	2	on_validateemptycanvas	OS/windows.script
2024-06-27 09:53:02.642 -0400	set		DEFAULTTEXTPLATFORM = Generic OCR	2	on_compare_screen	Common/check.script
2024-06-27 09:53:02.686 -0400	CompareScreen	[Baseline_Screens]/GUI_Canvas_Windows27 6 2024 _ 9 52 41.png	CompareScreen "GUI_Canvas_Windows27 6 2024 _ 9 52 41" -- No significant differences from baseline	4	on_compare_screen	Common/check.script
2024-06-27 09:53:02.802 -0400	set		DEFAULTTEXTPLATFORM = Generic OCR	2	function_compare_screen	Common/check.script
2024-06-27 09:53:02.837 -0400	CompareScreen	[Baseline_Screens]/GUI_Canvas_Windows27 6 2024 _ 9 52 41.png	CompareScreen "GUI_Canvas_Windows27 6 2024 _ 9 52 41" -- No significant differences from baseline	4	function_compare_screen	Common/check.script
2024-06-27 09:53:04.863 -0400	click	selectTool	at (130, 94)	4	on_validate	Common/clickEvent.script
2024-06-27 09:53:04.887 -0400	LogSuccess		Select tool is present in Navigation Toolbar	2	on_success	Common/cLog.script
2024-06-27 09:53:06.319 -0400	click	nodeDevice	at (51, 222)	4	on_leftevent	Common/clickEvent.script
2024-06-27 09:53:09.083 -0400	click		at (917, 429)	3	on_clickscaled	Common/clickEvent.script
2024-06-27 09:53:11.235 -0400	click		at (1253, 770)	3	on_clickscaled	Common/clickEvent.script
2024-06-27 09:53:11.320 -0400	Log		Global Click Coordinates: [{key:1, value:"0.4775-0.3975"},{key:2, value:"0.6525-0.7125"}]	2	on_cmessage	Common/cLog.script
2024-06-27 09:53:15.130 -0400	click	selectTool	at (130, 94)	4	on_leftevent	Common/clickEvent.script
