2024-06-24 12:55:54.451 -0400	waitfor	(TEXT:"Close")	found at (46, 186)	6	on_waitfortext	Common/waitForEvent.script
2024-06-24 12:55:54.555 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-24 12:55:57.096 -0400	click	(TEXT:"Close")	at (46, 186)	6	on_leftevent	Common/clickEvent.script
2024-06-24 12:55:57.181 -0400	LogSuccess		Close Scenario operation completed successfully.	2	on_success	Common/cLog.script
2024-06-24 12:55:57.242 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-24 12:55:58.276 -0400	CompareScreen	[Baseline_Screens]/GUI_Canvas_Windows24 6 2024 _ 12 43 53.png	CompareScreen "GUI_Canvas_Windows24 6 2024 _ 12 43 53" -- differences between current screen and baseline	3	on_compare_screen	Common/check.script	{CurrentImageName:"GUI_Canvas_Windows24 6 2024 _ 12 43 53_0000.png", Differences:[{difference:"Changed", differenceType:"Element", rectangle:[327, 274, 485, 400], source:"Combined"}]}
2024-06-24 12:55:58.287 -0400	LogWarning	C:/Users/pratdaga/Desktop/eggplant_automation/exatagui.suite/Results/TestCases/Regular/closeUnsavedScenario/20240624_125520.816/GUI_Canvas_Windows24 6 2024 _ 12 43 53_0000.png	Found 1 differences	3	on_compare_screen	Common/check.script
2024-06-24 12:55:58.531 -0400	CompareScreen	[Baseline_Screens]/GUI_Canvas_Windows24 6 2024 _ 12 43 53.png	CompareScreen "GUI_Canvas_Windows24 6 2024 _ 12 43 53" -- differences between current screen and baseline	3	function_compare_screen	Common/check.script	{CurrentImageName:"GUI_Canvas_Windows24 6 2024 _ 12 43 53_0001.png", Differences:[{difference:"Changed", differenceType:"Element", rectangle:[327, 274, 485, 400], source:"Combined"}]}
2024-06-24 12:55:58.536 -0400	LogWarning	C:/Users/pratdaga/Desktop/eggplant_automation/exatagui.suite/Results/TestCases/Regular/closeUnsavedScenario/20240624_125520.816/GUI_Canvas_Windows24 6 2024 _ 12 43 53_0001.png	Found 1 differences	3	function_compare_screen	Common/check.script
2024-06-24 12:55:58.635 -0400	LogSuccess		Close option of File menu is clicked to close the scenario	2	on_success	Common/cLog.script
2024-06-24 12:55:58.826 -0400	set		SEARCHRECTANGLE = [[480,270],[1440,810]]	3	on_setsearchsection	Common/search.script
2024-06-24 12:55:59.356 -0400	imagefound	(TEXT:"Do you want to save the changes")	found at (1105, 522)	9	function_isimagetextfound	Common/check.script
2024-06-24 12:56:02.596 -0400	moveto	(TEXT:"Do you want to save the changes")	at (1105, 522)	10	function_isimagetextfound	Common/check.script
2024-06-24 12:56:02.641 -0400	LogSuccess		Do you want to save the changes  is found in 	2	on_success	Common/cLog.script
2024-06-24 12:56:02.701 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-24 12:56:03.646 -0400	typetext		[tab]	3	on_entertext	Common/keyBoard.script
2024-06-24 12:56:04.696 -0400	typetext		[returnKey]	3	on_entertext	Common/keyBoard.script
2024-06-24 12:56:05.926 -0400	set		SEARCHRECTANGLE = [[480,270],[1440,810]]	3	on_setsearchsection	Common/search.script
2024-06-24 12:57:06.196 -0400	imagefound	(TEXT:"Do you want to save the changes")	Unable to Find Image (TEXT:"Do you want to save the changes"). Text not found.	9	function_isimagetextfound	Common/check.script
2024-06-24 12:57:06.291 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-24 12:57:06.411 -0400	LogSuccess		Unsaved scenario popup window closed	2	on_success	Common/cLog.script
2024-06-24 12:57:06.556 -0400	capturescreen	CloseUnsavedScenario.png	(695,203,1460,970)	4	on_capturescreenshots	Common/captureScreenShots.script
2024-06-24 12:57:06.721 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-24 12:57:06.966 -0400	set		SEARCHRECTANGLE = [[0,0],[249.6,151.2]]	3	on_setsearchsection	Common/search.script
2024-06-24 12:57:07.241 -0400	imagefound	(TEXT:"Architect")	found at (58, 59)	9	function_isimagetextfound	Common/check.script
2024-06-24 12:57:10.486 -0400	moveto	(TEXT:"Architect")	at (58, 59)	10	function_isimagetextfound	Common/check.script
2024-06-24 12:57:10.537 -0400	LogSuccess		Architect  is found in TopLeft	2	on_success	Common/cLog.script
2024-06-24 12:57:10.592 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-24 12:57:10.816 -0400	set		SEARCHRECTANGLE = [[0,0],[249.6,151.2]]	3	on_setsearchsection	Common/search.script
2024-06-24 12:57:11.088 -0400	imagefound	(TEXT:"Architect")	found at (58, 59)	7	on_onfoundimagelocation	Common/clickEvent.script
2024-06-24 12:57:11.627 -0400	click		at (58, 59)	8	on_onfoundimagelocation	Common/clickEvent.script
2024-06-24 12:57:11.676 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-24 12:57:11.926 -0400	set		SEARCHRECTANGLE = [[0,0],[249.6,151.2]]	3	on_setsearchsection	Common/search.script
2024-06-24 12:57:13.061 -0400	click	(TEXT:"File")	at (14, 31)	6	on_leftevent	Common/clickEvent.script
2024-06-24 12:57:14.151 -0400	imagefound	(TEXT:"New")	found at (44, 55)	9	function_isimagetextfound	Common/check.script
2024-06-24 12:57:14.526 -0400	moveto	(TEXT:"New")	at (44, 55)	10	function_isimagetextfound	Common/check.script
2024-06-24 12:57:14.566 -0400	LogSuccess		New  is found in 	2	on_success	Common/cLog.script
