2024-06-05 19:24:01.523 -0400	START		Running TestCases/HumanInTheLoop/verifyRecentFilesList.script	22	on_startregulartests	TestCases/Regular/testLauncher.script
2024-06-05 19:24:01.543 -0400	BeginTestCase		verifyRecentFilesList	2	on_verifyrecentfileslist	TestCases/HumanInTheLoop/verifyRecentFilesList.script
2024-06-05 19:24:01.718 -0400	CompareScreen	[Baseline_Screens]/GUI_Canvas_Windows5 6 2024 _ 19 23 7.png	CompareScreen "GUI_Canvas_Windows5 6 2024 _ 19 23 7" -- No significant differences from baseline	3	on_compare_screen	Common/check.script
2024-06-05 19:24:01.837 -0400	CompareScreen	[Baseline_Screens]/GUI_Canvas_Windows5 6 2024 _ 19 23 7.png	CompareScreen "GUI_Canvas_Windows5 6 2024 _ 19 23 7" -- No significant differences from baseline	3	function_compare_screen	Common/check.script
2024-06-05 19:24:02.225 -0400	set		SEARCHRECTANGLE = [[0,0],[249.6,151.2]]	3	on_setsearchsection	Common/search.script
2024-06-05 19:24:02.784 -0400	click	(TEXT:"File")	at (14, 31)	6	on_leftevent	Common/clickEvent.script
2024-06-05 19:24:03.933 -0400	imagefound	(TEXT:"New")	found at (44, 55)	9	function_isimagetextfound	Common/check.script
2024-06-05 19:24:04.234 -0400	moveto	(TEXT:"New")	at (44, 55)	10	function_isimagetextfound	Common/check.script
2024-06-05 19:24:04.252 -0400	LogSuccess		New  is found in 	2	on_success	Common/cLog.script
2024-06-05 19:24:04.287 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-05 19:24:04.403 -0400	LogSuccess		File menu opened successfully	2	on_success	Common/cLog.script
2024-06-05 19:24:04.489 -0400	capturescreen	verifyFileMenu.png	(0,2,808,810)	4	on_capturescreenshots	Common/captureScreenShots.script
2024-06-05 19:24:04.612 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-05 19:24:04.863 -0400	set		SEARCHRECTANGLE = [[0,0],[480,270]]	3	on_setsearchsection	Common/search.script
2024-06-05 19:24:05.961 -0400	click	(TEXT:"Open Example")	at (68, 99)	6	on_leftevent	Common/clickEvent.script
2024-06-05 19:24:05.996 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-05 19:24:15.501 -0400	imagefound	(TEXT:"cancel")	found at (890, 528)	9	function_isimagetextfound	Common/check.script
2024-06-05 19:24:21.829 -0400	moveto	(TEXT:"cancel")	at (890, 528)	10	function_isimagetextfound	Common/check.script
2024-06-05 19:24:21.854 -0400	LogSuccess		cancel  is found in 	2	on_success	Common/cLog.script
2024-06-05 19:24:21.891 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-05 19:24:21.936 -0400	LogSuccess		The Open File dialog box is successfully open after selecting the Open Example option	2	on_success	Common/cLog.script
2024-06-05 19:24:21.968 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-05 19:24:25.089 -0400	imagefound	(TEXT:"cancel")	found at (890, 528)	9	function_isimagetextfound	Common/check.script
2024-06-05 19:24:28.339 -0400	moveto	(TEXT:"cancel")	at (890, 528)	10	function_isimagetextfound	Common/check.script
2024-06-05 19:24:28.407 -0400	LogSuccess		cancel  is found in 	2	on_success	Common/cLog.script
2024-06-05 19:24:28.443 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-05 19:24:29.622 -0400	typetext		default	3	on_entertext	Common/keyBoard.script
2024-06-05 19:24:30.657 -0400	typetext		[returnKey]	3	on_entertext	Common/keyBoard.script
2024-06-05 19:24:32.098 -0400	typetext		default.config	3	on_entertext	Common/keyBoard.script
2024-06-05 19:24:33.138 -0400	typetext		[returnKey]	3	on_entertext	Common/keyBoard.script
2024-06-05 19:24:33.193 -0400	LogSuccess		Open Example operation completed successfully.	2	on_success	Common/cLog.script
2024-06-05 19:24:36.222 -0400	waitfor	(TEXT:"default")	found at (610, 69)	6	on_waitfortext	Common/waitForEvent.script
2024-06-05 19:24:36.324 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
2024-06-05 19:24:36.608 -0400	set		SEARCHRECTANGLE = [[0,0],[1920,540]]	3	on_setsearchsection	Common/search.script
2024-06-05 19:24:41.550 -0400	imagefound	(TEXT:"default")	found at (942, 510)	9	function_isimagetextfound	Common/check.script
2024-06-05 19:24:43.116 -0400	moveto	(TEXT:"default")	at (942, 510)	10	function_isimagetextfound	Common/check.script
2024-06-05 19:24:43.150 -0400	LogSuccess		default  is found in TopHalf	2	on_success	Common/cLog.script
2024-06-05 19:24:43.189 -0400	set		SEARCHRECTANGLE = 	2	on_clearsearchsection	Common/search.script
