2024-06-28 11:26:21.512 -0400	START		Running TestCases/Regular/basicExataFunctionalityCheck.script	22	on_startregulartests	TestCases/Regular/testLauncher.script
2024-06-28 11:26:21.625 -0400	BeginTestCase		basicEXataFunctionalityCheck	2	on_basicexatafunctionalitycheck	TestCases/Regular/basicExataFunctionalityCheck.script
2024-06-28 11:26:22.733 -0400	set		DEFAULTTEXTPLATFORM = Generic OCR	2	on_validateemptycanvas	OS/windows.script
2024-06-28 11:26:23.107 -0400	set		DEFAULTTEXTPLATFORM = Generic OCR	2	on_compare_screen	Common/check.script
2024-06-28 11:26:23.262 -0400	CompareScreen	[Baseline_Screens]/GUI_Canvas_Windows28 6 2024 _ 11 24 30.png	CompareScreen "GUI_Canvas_Windows28 6 2024 _ 11 24 30" -- No significant differences from baseline	4	on_compare_screen	Common/check.script
2024-06-28 11:26:23.931 -0400	set		DEFAULTTEXTPLATFORM = Generic OCR	2	function_compare_screen	Common/check.script
2024-06-28 11:26:24.036 -0400	CompareScreen	[Baseline_Screens]/GUI_Canvas_Windows28 6 2024 _ 11 24 30.png	CompareScreen "GUI_Canvas_Windows28 6 2024 _ 11 24 30" -- No significant differences from baseline	4	function_compare_screen	Common/check.script
2024-06-28 11:26:26.948 -0400	click	selectTool	at (130, 94)	4	on_validate	Common/clickEvent.script
2024-06-28 11:26:27.158 -0400	LogSuccess		Select tool is present in Navigation Toolbar	2	on_success	Common/cLog.script
2024-06-28 11:26:29.115 -0400	click	nodeDevice	at (51, 222)	4	on_leftevent	Common/clickEvent.script
2024-06-28 11:26:31.951 -0400	click		at (917, 429)	3	on_clickscaled	Common/clickEvent.script
2024-06-28 11:26:34.113 -0400	click		at (1253, 770)	3	on_clickscaled	Common/clickEvent.script
2024-06-28 11:26:34.474 -0400	Log		Global Click Coordinates: [{key:1, value:"0.4775-0.3975"},{key:2, value:"0.6525-0.7125"}]	2	on_cmessage	Common/cLog.script
2024-06-28 11:26:38.208 -0400	click	selectTool	at (130, 94)	4	on_leftevent	Common/clickEvent.script
2024-06-28 11:26:38.595 -0400	set		DEFAULTTEXTPLATFORM = Generic OCR	2	on_nodesplacement	Common/check.script
